City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Monrovia,LR,86.0,broken clouds,6.3,-10.8,Eco-Hotel Hall & Restaurant
2,Gasa,PS,70.0,clear sky,31.5,34.47,رابطة الفنانين الفلسطينيين
4,Westview,US,73.0,few clouds,25.88,-80.24,MiLuSol Hostel
5,New Norfolk,AU,66.2,clear sky,-42.78,147.06,The Shingles Riverside Cottages
11,Dharmabad,IN,81.0,scattered clouds,18.9,77.85,LBS College's Boys Hostel
13,Codrington,AU,64.49,light rain,-38.27,141.97,Codrington Gardens Bed And Breakfast
14,Chuy,UY,66.04,scattered clouds,-33.7,-53.46,Nuevo Hotel Plaza
15,Aden,YE,79.83,scattered clouds,12.78,45.04,Sama Emirate Hotel
18,Rikitea,PF,75.16,broken clouds,-23.12,-134.97,Pension Maro'i
26,Port Elizabeth,ZA,71.6,clear sky,-33.92,25.57,39 On Nile Guest House
31,Buraydah,SA,60.8,broken clouds,26.33,43.98,Mövenpick Hotel Qassim
34,Batiano,PH,75.7,moderate rain,7.55,126.49,
40,Tiarei,PF,77.0,light rain,-17.53,-149.33,Le Rocher de Tahiti
43,Puerto Ayora,EC,69.01,overcast clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
45,French Harbor,HN,77.0,clear sky,16.35,-86.43,"Fantasy Island Beach Resort, Dive & Marina"
46,Saint-Philippe,RE,84.2,broken clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
49,Gizo,SB,83.1,overcast clouds,-8.1,156.84,Imagination Island
50,Cockburn Town,TC,77.76,few clouds,21.46,-71.14,Osprey Beach Hotel
51,Contamana,PE,74.93,overcast clouds,-7.33,-75.02,Shiringal Touristic Park
52,Hithadhoo,MV,83.08,broken clouds,-0.6,73.08,Scoop Guest House
54,Vaini,TO,71.6,few clouds,-21.2,-175.2,Keleti Beach Resort
55,Jalcocotan,MX,65.1,clear sky,21.47,-105.12,"Hotel ""Doña Celia"""
56,Muros,ES,62.01,few clouds,42.78,-9.06,Apartment Av. Castelao
61,Bal-Os,PH,79.07,broken clouds,9.44,122.63,The Millares
62,Kutum,SD,81.73,clear sky,14.2,24.67,Dibbo areaمنطقة دبو
65,Hilo,US,68.0,scattered clouds,19.73,-155.09,Hilo Hawaiian Hotel
67,Mareeba,AU,79.0,overcast clouds,-17.0,145.43,Trinity Plains Tourist Park
69,Nhulunbuy,AU,84.2,overcast clouds,-12.23,136.77,East Arnhem Real Estate
71,Hobart,AU,66.2,clear sky,-42.88,147.33,St Ives Hobart Accommodation Tasmania
72,Masyaf,SY,66.2,broken clouds,35.07,36.34,Hotel restaurants and tourist Misyaf
74,Sao Filipe,CV,75.13,broken clouds,14.9,-24.5,Tortuga B&B
76,Bredasdorp,ZA,73.4,scattered clouds,-34.53,20.04,Bredasdorp Country Manor
77,Vila Velha,BR,80.01,scattered clouds,-20.33,-40.29,Hotel Vitória Palace
86,Mar Del Plata,AR,63.0,few clouds,-38.0,-57.56,Gran Hotel Mar del Plata habitaciones
89,Port Alfred,ZA,71.94,clear sky,-33.59,26.89,The Halyards Hotel
