City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kyabe,TD,9.45,18.94,98.33,15,68,5.5,broken clouds
1,Monrovia,LR,6.3,-10.8,86.0,70,75,3.36,broken clouds
2,Gasa,PS,31.5,34.47,70.0,53,0,3.0,clear sky
3,Busselton,AU,-33.65,115.33,52.0,67,11,5.99,few clouds
4,Westview,US,25.88,-80.24,73.0,88,20,5.82,few clouds
5,New Norfolk,AU,-42.78,147.06,66.2,39,0,12.75,clear sky
6,Tongliao,CN,43.61,122.27,9.81,92,0,8.32,clear sky
7,Severo-Kurilsk,RU,50.68,156.12,29.59,88,60,10.31,broken clouds
8,Constitucion,CL,-35.33,-72.42,58.33,53,0,5.44,clear sky
9,Maniitsoq,GL,65.42,-52.9,23.79,88,48,6.22,scattered clouds
10,Ushuaia,AR,-54.8,-68.3,48.2,61,75,12.75,light intensity drizzle
11,Dharmabad,IN,18.9,77.85,81.0,52,33,5.53,scattered clouds
12,Bud,US,39.45,-86.18,35.6,93,90,11.41,light rain
13,Codrington,AU,-38.27,141.97,64.49,72,100,6.2,light rain
14,Chuy,UY,-33.7,-53.46,66.04,62,28,14.61,scattered clouds
15,Aden,YE,12.78,45.04,79.83,72,27,13.78,scattered clouds
16,Mataura,NZ,-46.19,168.86,50.0,69,76,1.99,broken clouds
17,Saint-Gaudens,FR,43.08,0.67,59.0,62,0,5.82,clear sky
18,Rikitea,PF,-23.12,-134.97,75.16,81,67,11.18,broken clouds
19,Mayo,US,38.89,-76.51,55.99,100,90,11.41,moderate rain
20,Kaitangata,NZ,-46.28,169.85,46.99,67,23,1.99,few clouds
21,Tuktoyaktuk,CA,69.45,-133.04,-9.04,90,92,7.85,overcast clouds
22,Punta Arenas,CL,-53.15,-70.92,50.0,57,20,38.03,few clouds
23,Krems,AT,48.41,15.61,42.01,74,53,1.66,broken clouds
24,Narsaq,GL,60.92,-46.05,28.4,86,90,39.15,snow
25,Bilibino,RU,68.05,166.44,-16.94,86,98,0.58,overcast clouds
26,Port Elizabeth,ZA,-33.92,25.57,71.6,60,0,33.33,clear sky
27,Aksarka,RU,66.56,67.8,18.03,95,70,15.08,broken clouds
28,Soderhamn,SE,61.3,17.06,28.0,96,90,8.7,overcast clouds
29,San Jeronimo,PE,-11.95,-75.28,50.13,69,57,2.82,broken clouds
30,Kodiak,US,57.79,-152.41,19.4,92,1,5.82,clear sky
31,Buraydah,SA,26.33,43.98,60.8,87,75,10.29,broken clouds
32,Fortuna,US,40.6,-124.16,42.01,1,53,1.99,broken clouds
33,Yellowknife,CA,62.46,-114.35,6.8,92,40,5.82,scattered clouds
34,Batiano,PH,7.55,126.49,75.7,88,54,4.16,moderate rain
35,Coquimbo,CL,-29.95,-71.34,53.6,100,90,4.7,mist
36,Nikolskoye,RU,59.7,30.79,35.6,80,75,2.24,broken clouds
37,Westport,US,41.14,-73.36,48.0,81,40,5.82,scattered clouds
38,Mangalia,RO,43.8,28.58,39.2,86,90,16.11,light rain
39,Eureka,US,40.8,-124.16,42.01,86,40,8.05,scattered clouds
40,Tiarei,PF,-17.53,-149.33,77.0,78,75,2.24,light rain
41,Albany,US,42.6,-73.97,39.0,100,90,3.36,overcast clouds
42,Jamestown,US,42.1,-79.24,41.0,86,90,6.93,light rain
43,Puerto Ayora,EC,-0.74,-90.35,69.01,98,93,3.0,overcast clouds
44,Haukipudas,FI,65.18,25.35,28.99,92,40,9.17,scattered clouds
45,French Harbor,HN,16.35,-86.43,77.0,93,0,11.97,clear sky
46,Saint-Philippe,RE,-21.36,55.77,84.2,65,75,9.17,broken clouds
47,Den Helder,NL,52.96,4.76,42.8,100,75,13.87,mist
48,Hay River,CA,60.82,-115.8,26.6,73,98,6.93,overcast clouds
49,Gizo,SB,-8.1,156.84,83.1,74,99,6.13,overcast clouds
50,Cockburn Town,TC,21.46,-71.14,77.76,71,15,14.9,few clouds
51,Contamana,PE,-7.33,-75.02,74.93,91,100,1.12,overcast clouds
52,Hithadhoo,MV,-0.6,73.08,83.08,67,69,8.81,broken clouds
53,Zakamensk,RU,50.37,103.29,3.72,86,82,2.35,broken clouds
54,Vaini,TO,-21.2,-175.2,71.6,88,20,4.7,few clouds
55,Jalcocotan,MX,21.47,-105.12,65.1,77,0,2.98,clear sky
56,Muros,ES,42.78,-9.06,62.01,64,21,4.0,few clouds
57,Mopti,ML,14.67,-4.0,98.69,15,50,15.1,scattered clouds
58,Lompoc,US,34.64,-120.46,39.2,63,1,5.93,clear sky
59,Saint George,US,37.1,-113.58,32.0,55,18,3.36,few clouds
60,Vardo,NO,70.37,31.11,35.6,80,75,39.15,broken clouds
